"","Unclassified","Fatty.Acyls","Organooxygen.compounds","Hydroxy.acids.and.derivatives","Organic.phosphonic.acids.and.derivatives","Heteroaromatic.compounds","Phenols","Organic.sulfuric.acids.and.derivatives","Diazines","Organic.carbonic.acids.and.derivatives","Keto.acids.and.derivatives","Dihydrofurans","Lactones","Organic.sulfonic.acids.and.derivatives","Carboxylic.acids.and.derivatives","Benzene.and.substituted.derivatives","Azoles","Quinolines.and.derivatives","Cinnamic.acids.and.derivatives","Benzothiazoles","Imidazopyrimidines","Pyrans","Tropane.alkaloids","Other.mixed.metal.non.metal.oxoanionic.compounds","Pyridines.and.derivatives","Phenol.ethers","Indolizidines","Indoles.and.derivatives","Thiazinanes","Thiosulfinic.acid.esters","Isocoumarans","Phenylpropanoic.acids","Furans","Prenol.lipids","Benzopyrans","Naphthalenes","Coumarins.and.derivatives","Naphthofurans","Isoquinolines.and.derivatives","Azepines","Furopyrans","Benzofurans","Sulfoxides","Anthracenes","Pyrimidine.nucleosides","Benzodioxoles","Diazanaphthalenes","Phenanthrenes.and.derivatives","Oxocins","Organonitrogen.compounds","Oxepanes","Naphthopyrans","Bi..and.oligothiophenes","Organochlorides","Azaphilones","Tetrahydroisoquinolines","Purine.nucleosides","Dioxanes","Isoflavonoids","Benzoxazines","X2.arylbenzofuran.flavonoids","Flavonoids","Macrolides.and.analogues","Vinylogous.acids","Piperidines","Stilbenes","Linear.1.3.diarylpropanoids","Amaryllidaceae.alkaloids","Benzodiazepines","Steroids.and.steroid.derivatives","Diarylheptanoids","Tetralins","Furanoid.lignans","Acyl.halides","Isobenzofurans","Furofurans","Indanes","Fluorenes","Angucyclines","Aryltetralin.lignans","Carboximidic.acids.and.derivatives","Perylenequinones","Oxanes","Pyridopyrimidines","Benzophenanthridine.alkaloids","Sphingolipids","Isoindoles.and.derivatives","Arylnaphthalene.lignans","Depsides.and.depsidones","Plumeran.type.alkaloids","Neoflavonoids","Glycerophospholipids","Peptidomimetics","Macrolactams","Strychnos.alkaloids","Pyrrolidines","Tetrahydrofurans","Unsaturated.hydrocarbons","Polycyclic.hydrocarbons","Lactams","Organic.phosphoric.acids.and.derivatives","Acenaphthylenes","Quinolizines","Imidazodiazepines","Allyl.type.1.3.dipolar.organic.compounds","Organic.oxides","Pteridines.and.derivatives","Azepanes","Harmala.alkaloids","Azaspirodecane.derivatives","Pyrroles","Dihydroisoquinolines","Isocoumarins.and.derivatives","Benzazepines","Phenol.esters","Indolonaphthyridine.alkaloids","Trithiolanes","Pyrrolizidines","Ergoline.and.derivatives","Lupin.alkaloids","Azolidines","Pyrrolizines","Saxitoxins..gonyautoxins..and.derivatives","Benzoxepines","Quinolizidines","X5..deoxyribonucleosides","Glycerolipids","Azetidines","Gelsemium.alkaloids","Pyrrolines","Daphniphylline.type.alkaloids","Aspidospermatan.type.alkaloids","Tropones","Aporphines","Dibenzylbutane.lignans","Aspidofractine.alkaloids","Naphthacenes","Cycloheptapyrans","Tannins","Tetrapyrroles.and.derivatives","Macrolide.lactams","Saccharolipids"
"Patescibacteria",0.921856396238973,0.782333991116921,0.862530416427066,0.921856396238973,0.754607271783464,0.754607271783464,0.782333991116921,0.782333991116921,0.907898446255325,0.862530416427066,0.921856396238973,0.921856396238973,0.754607271783464,0.907898446255325,0.921856396238973,0.921856396238973,0.782333991116921,0.907898446255325,0.907898446255325,0.921856396238973,0.921856396238973,0.921856396238973,0.782333991116921,0.907898446255325,0.907898446255325,0.782333991116921,0.754607271783464,0.921856396238973,0.754607271783464,0.418488254816304,0.921856396238973,4.11253253710544e-22,0.782333991116921,0.907898446255325,0.862530416427066,0.921856396238973,0.907898446255325,0.782333991116921,0.418488254816304,0.754607271783464,0.782333991116921,0.907898446255325,0.754607271783464,0.907898446255325,0.921856396238973,0.862530416427066,0.907898446255325,0.754607271783464,0.907898446255325,1,0.862530416427066,0.862530416427066,0.921856396238973,0.921856396238973,0.921856396238973,0.907898446255325,0.907898446255325,0.782333991116921,6.56865802128019e-22,0.862530416427066,0.418488254816304,0.782333991116921,1,0.921856396238973,0.782333991116921,0.921856396238973,0.782333991116921,4.11253253710544e-22,0.862530416427066,0.907898446255325,0.754607271783464,0.921856396238973,0.921856396238973,0.782333991116921,0.921856396238973,1,0.907898446255325,0.782333991116921,6.56865802128019e-22,1,0.907898446255325,0.754607271783464,0.754607271783464,0.921856396238973,0.714527005731058,0.921856396238973,0.921856396238973,0.907898446255325,0.862530416427066,0.921856396238973,0.418488254816304,0.754607271783464,0.921856396238973,0.418488254816304,0.714527005731058,0.714527005731058,0.907898446255325,0.921856396238973,0.782333991116921,0.921856396238973,0.921856396238973,0.907898446255325,0.921856396238973,0.714527005731058,0.921856396238973,0.921856396238973,0.782333991116921,0.754607271783464,0.714527005731058,0.782333991116921,6.56865802128019e-22,0.418488254816304,0.907898446255325,0.714527005731058,0.418488254816304,0.907898446255325,0.754607271783464,0.921856396238973,0.782333991116921,0.921856396238973,0.782333991116921,0.921856396238973,0.782333991116921,0.754607271783464,0.907898446255325,0.907898446255325,0.907898446255325,0.754607271783464,0.921856396238973,1,0.907898446255325,0.907898446255325,0.782333991116921,0.714527005731058,0.921856396238973,0.782333991116921,0.754607271783464,0.862530416427066,0.921856396238973,0.907898446255325,0.418488254816304,0.921856396238973
"Planctomycetota",0.754607271783464,6.56865802128019e-22,0.754607271783464,0.907898446255325,1,0.782333991116921,0.921856396238973,1,0.862530416427066,0.714527005731058,0.907898446255325,0.921856396238973,0.782333991116921,0.907898446255325,0.782333991116921,0.754607271783464,0.921856396238973,0.782333991116921,0.907898446255325,0.907898446255325,0.907898446255325,1,1,0.921856396238973,0.862530416427066,0.714527005731058,0.907898446255325,0.754607271783464,0.907898446255325,0.714527005731058,0.907898446255325,0.782333991116921,0.921856396238973,0.921856396238973,0.907898446255325,0.907898446255325,0.862530416427066,0.754607271783464,0.714527005731058,0.782333991116921,0.921856396238973,0.921856396238973,0.921856396238973,0.907898446255325,0.921856396238973,0.907898446255325,0.907898446255325,1,0.782333991116921,0.921856396238973,0.418488254816304,0.714527005731058,0.754607271783464,0.754607271783464,0.907898446255325,0.921856396238973,0.921856396238973,0.714527005731058,0.782333991116921,0.418488254816304,0.714527005731058,0.907898446255325,0.921856396238973,0.862530416427066,0.754607271783464,0.754607271783464,0.921856396238973,0.782333991116921,0.921856396238973,0.921856396238973,0.782333991116921,0.921856396238973,0.921856396238973,0.907898446255325,0.907898446255325,0.921856396238973,0.862530416427066,1,0.782333991116921,0.921856396238973,0.862530416427066,0.418488254816304,0.782333991116921,0.907898446255325,0.921856396238973,0.862530416427066,0.907898446255325,0.921856396238973,0.921856396238973,0.907898446255325,0.714527005731058,0.907898446255325,0.921856396238973,0.754607271783464,0.418488254816304,0.782333991116921,0.782333991116921,0.782333991116921,6.56865802128019e-22,0.907898446255325,0.907898446255325,0.782333991116921,0.754607271783464,0.418488254816304,0.907898446255325,0.921856396238973,0.907898446255325,0.907898446255325,0.418488254816304,0.921856396238973,0.782333991116921,0.754607271783464,0.862530416427066,0.418488254816304,0.921856396238973,0.782333991116921,0.921856396238973,1,0.921856396238973,0.782333991116921,0.907898446255325,1,0.907898446255325,0.782333991116921,0.921856396238973,0.921856396238973,0.782333991116921,0.907898446255325,0.907898446255325,0.921856396238973,0.907898446255325,0.907898446255325,0.754607271783464,0.418488254816304,0.907898446255325,0.921856396238973,1,0.714527005731058,0.921856396238973,0.921856396238973,0.921856396238973,0.907898446255325
"Proteobacteria",0.754607271783464,4.11253253710544e-22,0.754607271783464,0.907898446255325,1,0.782333991116921,0.921856396238973,1,0.862530416427066,0.714527005731058,0.907898446255325,0.921856396238973,0.782333991116921,0.907898446255325,0.782333991116921,0.754607271783464,0.921856396238973,0.782333991116921,0.907898446255325,0.907898446255325,0.907898446255325,1,1,0.921856396238973,0.862530416427066,0.714527005731058,0.907898446255325,0.754607271783464,0.907898446255325,0.714527005731058,0.907898446255325,0.782333991116921,0.921856396238973,0.921856396238973,0.907898446255325,0.907898446255325,0.862530416427066,0.754607271783464,0.714527005731058,0.782333991116921,0.921856396238973,0.921856396238973,0.921856396238973,0.907898446255325,0.921856396238973,0.907898446255325,0.907898446255325,1,0.782333991116921,0.921856396238973,0.418488254816304,0.714527005731058,0.754607271783464,0.754607271783464,0.907898446255325,0.921856396238973,0.921856396238973,0.714527005731058,0.782333991116921,0.418488254816304,0.714527005731058,0.907898446255325,0.921856396238973,0.862530416427066,0.754607271783464,0.754607271783464,0.921856396238973,0.782333991116921,0.921856396238973,0.921856396238973,0.782333991116921,0.921856396238973,0.921856396238973,0.907898446255325,0.907898446255325,0.921856396238973,0.862530416427066,1,0.782333991116921,0.921856396238973,0.862530416427066,0.418488254816304,0.782333991116921,0.907898446255325,0.921856396238973,0.862530416427066,0.907898446255325,0.921856396238973,0.921856396238973,0.907898446255325,0.714527005731058,0.907898446255325,0.921856396238973,0.754607271783464,0.418488254816304,0.782333991116921,0.782333991116921,0.782333991116921,4.11253253710544e-22,0.907898446255325,0.907898446255325,0.782333991116921,0.754607271783464,0.418488254816304,0.907898446255325,0.921856396238973,0.907898446255325,0.907898446255325,0.418488254816304,0.921856396238973,0.782333991116921,0.754607271783464,0.862530416427066,0.418488254816304,0.921856396238973,0.782333991116921,0.921856396238973,1,0.921856396238973,0.782333991116921,0.907898446255325,1,0.907898446255325,0.782333991116921,0.921856396238973,0.921856396238973,0.782333991116921,0.907898446255325,0.907898446255325,0.921856396238973,0.907898446255325,0.907898446255325,0.754607271783464,0.418488254816304,0.907898446255325,0.921856396238973,1,0.714527005731058,0.921856396238973,0.921856396238973,0.921856396238973,0.907898446255325
"RCP2.54",0.907898446255325,0.907898446255325,0.907898446255325,1,0.921856396238973,0.921856396238973,0.921856396238973,0.714527005731058,0.907898446255325,0.907898446255325,0.862530416427066,0.418488254816304,0.921856396238973,0.921856396238973,0.862530416427066,0.907898446255325,0.921856396238973,0.921856396238973,0.921856396238973,0.714527005731058,1,0.754607271783464,0.714527005731058,0.907898446255325,0.907898446255325,0.921856396238973,0.418488254816304,0.907898446255325,0.418488254816304,0.907898446255325,1,0.782333991116921,0.921856396238973,0.921856396238973,0.921856396238973,1,0.907898446255325,0.754607271783464,0.907898446255325,0.862530416427066,0.754607271783464,0.907898446255325,0.782333991116921,0.921856396238973,0.907898446255325,0.921856396238973,0.754607271783464,0.921856396238973,0.921856396238973,0.782333991116921,0.907898446255325,0.907898446255325,0.907898446255325,0.907898446255325,0.862530416427066,0.782333991116921,0.907898446255325,0.921856396238973,0.782333991116921,0.907898446255325,0.907898446255325,6.56865802128019e-22,0.754607271783464,0.782333991116921,0.754607271783464,0.907898446255325,0.921856396238973,0.782333991116921,0.418488254816304,0.921856396238973,0.862530416427066,0.418488254816304,0.907898446255325,6.56865802128019e-22,1,0.754607271783464,0.907898446255325,0.714527005731058,0.782333991116921,0.921856396238973,0.907898446255325,0.921856396238973,0.921856396238973,1,0.782333991116921,0.782333991116921,0.714527005731058,0.782333991116921,0.418488254816304,1,0.907898446255325,0.418488254816304,0.907898446255325,0.714527005731058,0.862530416427066,0.418488254816304,0.921856396238973,0.862530416427066,0.907898446255325,0.782333991116921,0.907898446255325,0.921856396238973,0.907898446255325,0.862530416427066,1,0.418488254816304,6.56865802128019e-22,0.418488254816304,0.862530416427066,0.921856396238973,0.782333991116921,0.714527005731058,0.907898446255325,0.862530416427066,0.862530416427066,0.921856396238973,0.782333991116921,0.754607271783464,0.921856396238973,0.862530416427066,4.11253253710544e-22,0.754607271783464,4.11253253710544e-22,0.921856396238973,0.907898446255325,0.907898446255325,0.921856396238973,0.418488254816304,1,0.782333991116921,0.754607271783464,0.754607271783464,0.754607271783464,0.862530416427066,1,0.921856396238973,0.921856396238973,0.907898446255325,0.418488254816304,0.907898446255325,0.862530416427066,0.782333991116921
"SAR324_clade.Marine_group_B.",0.782333991116921,0.862530416427066,0.921856396238973,0.907898446255325,1,0.907898446255325,0.921856396238973,0.862530416427066,0.862530416427066,0.418488254816304,0.782333991116921,0.907898446255325,0.907898446255325,0.754607271783464,0.907898446255325,0.782333991116921,0.921856396238973,0.714527005731058,0.782333991116921,0.921856396238973,0.418488254816304,0.862530416427066,0.862530416427066,0.907898446255325,0.862530416427066,0.921856396238973,0.754607271783464,0.782333991116921,0.754607271783464,0.907898446255325,0.907898446255325,0.907898446255325,0.921856396238973,0.714527005731058,0.921856396238973,0.418488254816304,6.56865802128019e-22,0.921856396238973,0.907898446255325,0.921856396238973,0.921856396238973,0.907898446255325,0.921856396238973,0.782333991116921,0.907898446255325,0.921856396238973,0.418488254816304,1,0.714527005731058,0.714527005731058,0.921856396238973,0.418488254816304,0.782333991116921,0.921856396238973,0.782333991116921,0.754607271783464,0.907898446255325,0.921856396238973,0.907898446255325,0.921856396238973,0.907898446255325,0.907898446255325,0.921856396238973,1,0.921856396238973,0.782333991116921,0.921856396238973,0.907898446255325,0.921856396238973,0.714527005731058,0.921856396238973,0.907898446255325,0.907898446255325,0.907898446255325,0.418488254816304,0.921856396238973,6.56865802128019e-22,0.862530416427066,0.907898446255325,0.754607271783464,0.862530416427066,0.921856396238973,0.907898446255325,0.418488254816304,0.921856396238973,1,0.921856396238973,0.754607271783464,0.921856396238973,0.907898446255325,0.907898446255325,0.754607271783464,0.907898446255325,0.782333991116921,0.754607271783464,0.907898446255325,0.714527005731058,0.907898446255325,0.862530416427066,0.907898446255325,0.418488254816304,0.714527005731058,0.782333991116921,0.754607271783464,0.418488254816304,0.907898446255325,0.907898446255325,0.754607271783464,0.754607271783464,0.921856396238973,0.907898446255325,0.782333991116921,6.56865802128019e-22,0.754607271783464,0.921856396238973,0.714527005731058,0.921856396238973,0.862530416427066,0.921856396238973,0.907898446255325,0.907898446255325,0.862530416427066,0.907898446255325,0.907898446255325,0.907898446255325,0.907898446255325,0.714527005731058,0.754607271783464,0.907898446255325,0.714527005731058,0.418488254816304,0.418488254816304,0.921856396238973,0.754607271783464,0.907898446255325,0.921856396238973,1,0.418488254816304,0.907898446255325,0.907898446255325,0.921856396238973,0.907898446255325
"Spirochaetota",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Sumerlaeota",0.754607271783464,0.921856396238973,1,0.921856396238973,0.782333991116921,0.921856396238973,0.907898446255325,0.907898446255325,0.907898446255325,0.862530416427066,0.907898446255325,0.921856396238973,0.921856396238973,0.418488254816304,0.907898446255325,0.754607271783464,0.907898446255325,0.782333991116921,0.754607271783464,0.907898446255325,0.754607271783464,0.907898446255325,0.907898446255325,0.921856396238973,0.907898446255325,0.907898446255325,0.921856396238973,0.754607271783464,0.921856396238973,0.921856396238973,0.921856396238973,0.862530416427066,0.907898446255325,0.418488254816304,0.862530416427066,0.754607271783464,0.782333991116921,0.907898446255325,0.921856396238973,0.782333991116921,0.714527005731058,0.921856396238973,0.782333991116921,0.754607271783464,0.921856396238973,0.862530416427066,0.907898446255325,0.782333991116921,0.782333991116921,0.862530416427066,1,0.862530416427066,0.754607271783464,0.921856396238973,0.907898446255325,0.921856396238973,0.921856396238973,0.907898446255325,0.862530416427066,1,0.921856396238973,0.907898446255325,1,0.921856396238973,0.907898446255325,0.754607271783464,0.907898446255325,0.862530416427066,0.862530416427066,0.418488254816304,0.782333991116921,0.921856396238973,0.921856396238973,0.907898446255325,0.754607271783464,1,0.782333991116921,0.907898446255325,0.862530416427066,0.862530416427066,0.418488254816304,0.921856396238973,0.921856396238973,0.754607271783464,0.418488254816304,0.921856396238973,0.907898446255325,0.921856396238973,0.862530416427066,0.921856396238973,0.921856396238973,0.921856396238973,0.921856396238973,0.921856396238973,0.921856396238973,0.907898446255325,0.782333991116921,0.907898446255325,0.921856396238973,0.921856396238973,0.714527005731058,0.782333991116921,0.754607271783464,0.921856396238973,0.754607271783464,0.921856396238973,0.907898446255325,0.921856396238973,0.921856396238973,0.907898446255325,0.862530416427066,0.921856396238973,0.782333991116921,0.921856396238973,0.754607271783464,0.782333991116921,0.782333991116921,0.907898446255325,0.907898446255325,0.907898446255325,0.907898446255325,0.907898446255325,0.907898446255325,0.921856396238973,0.921856396238973,0.921856396238973,0.782333991116921,0.921856396238973,0.921856396238973,0.862530416427066,0.907898446255325,0.907898446255325,0.907898446255325,0.921856396238973,0.921856396238973,0.907898446255325,0.782333991116921,0.862530416427066,0.921856396238973,0.921856396238973,0.754607271783464,0.921856396238973
"Synergistota",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Verrucomicrobiota",0.907898446255325,0.921856396238973,0.921856396238973,0.418488254816304,0.782333991116921,0.862530416427066,0.754607271783464,0.907898446255325,0.754607271783464,0.907898446255325,0.907898446255325,0.862530416427066,0.862530416427066,0.921856396238973,0.907898446255325,0.907898446255325,0.754607271783464,0.782333991116921,0.754607271783464,0.907898446255325,0.754607271783464,0.907898446255325,0.907898446255325,0.418488254816304,0.754607271783464,0.862530416427066,0.921856396238973,0.907898446255325,0.921856396238973,0.921856396238973,0.418488254816304,0.921856396238973,0.754607271783464,0.862530416427066,0.754607271783464,0.754607271783464,0.907898446255325,0.754607271783464,0.921856396238973,0.782333991116921,1,0.418488254816304,0.907898446255325,0.754607271783464,4.11253253710544e-22,0.754607271783464,0.907898446255325,0.782333991116921,0.782333991116921,0.921856396238973,0.782333991116921,0.907898446255325,0.907898446255325,0.714527005731058,0.907898446255325,0.862530416427066,0.418488254816304,0.862530416427066,0.921856396238973,0.782333991116921,0.921856396238973,0.907898446255325,0.714527005731058,0.418488254816304,0.754607271783464,0.907898446255325,0.754607271783464,0.921856396238973,0.921856396238973,0.862530416427066,0.782333991116921,0.862530416427066,6.56865802128019e-22,0.907898446255325,0.754607271783464,0.714527005731058,0.907898446255325,0.907898446255325,0.921856396238973,0.418488254816304,0.921856396238973,0.921856396238973,0.862530416427066,0.754607271783464,0.921856396238973,0.418488254816304,0.907898446255325,0.862530416427066,0.921856396238973,0.418488254816304,0.921856396238973,0.921856396238973,6.56865802128019e-22,1,0.921856396238973,0.907898446255325,0.782333991116921,0.907898446255325,0.921856396238973,0.921856396238973,0.921856396238973,0.782333991116921,0.907898446255325,0.921856396238973,0.754607271783464,0.862530416427066,0.907898446255325,0.921856396238973,0.921856396238973,0.754607271783464,0.921856396238973,1,0.907898446255325,0.921856396238973,0.907898446255325,0.782333991116921,0.907898446255325,0.907898446255325,0.754607271783464,0.907898446255325,0.907898446255325,0.907898446255325,0.907898446255325,0.862530416427066,0.418488254816304,0.418488254816304,0.782333991116921,0.921856396238973,0.418488254816304,0.921856396238973,0.907898446255325,0.907898446255325,0.754607271783464,0.921856396238973,0.418488254816304,0.754607271783464,0.782333991116921,0.907898446255325,0.862530416427066,0.418488254816304,0.907898446255325,0.921856396238973
"WOR.1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"WPS.2",4.11253253710544e-22,0.754607271783464,0.754607271783464,0.921856396238973,0.921856396238973,0.782333991116921,0.907898446255325,0.907898446255325,0.714527005731058,0.714527005731058,0.921856396238973,0.907898446255325,0.782333991116921,0.782333991116921,0.418488254816304,4.11253253710544e-22,0.907898446255325,0.418488254816304,0.907898446255325,0.754607271783464,0.754607271783464,0.921856396238973,0.907898446255325,0.862530416427066,0.714527005731058,0.907898446255325,1,6.56865802128019e-22,1,0.862530416427066,0.921856396238973,0.921856396238973,0.907898446255325,0.782333991116921,0.907898446255325,0.754607271783464,0.782333991116921,1,0.862530416427066,0.921856396238973,0.754607271783464,0.862530416427066,0.907898446255325,0.907898446255325,0.907898446255325,0.907898446255325,0.921856396238973,0.921856396238973,0.418488254816304,0.921856396238973,0.907898446255325,0.714527005731058,6.56865802128019e-22,0.907898446255325,0.921856396238973,0.921856396238973,0.862530416427066,0.907898446255325,0.921856396238973,0.907898446255325,0.862530416427066,0.907898446255325,0.907898446255325,0.921856396238973,1,4.11253253710544e-22,0.907898446255325,0.921856396238973,0.782333991116921,0.782333991116921,0.921856396238973,0.907898446255325,0.907898446255325,0.907898446255325,0.754607271783464,0.907898446255325,0.782333991116921,0.907898446255325,0.921856396238973,0.907898446255325,0.418488254816304,0.782333991116921,0.782333991116921,0.754607271783464,0.862530416427066,0.921856396238973,0.754607271783464,0.921856396238973,0.782333991116921,0.921856396238973,0.862530416427066,1,0.907898446255325,0.921856396238973,0.782333991116921,0.921856396238973,0.418488254816304,0.418488254816304,0.754607271783464,0.862530416427066,0.862530416427066,0.418488254816304,4.11253253710544e-22,0.782333991116921,0.754607271783464,0.907898446255325,0.907898446255325,1,0.782333991116921,0.907898446255325,0.921856396238973,0.921856396238973,0.782333991116921,0.782333991116921,0.921856396238973,0.418488254816304,0.907898446255325,0.921856396238973,0.907898446255325,0.418488254816304,0.907898446255325,0.921856396238973,0.907898446255325,0.782333991116921,0.862530416427066,0.862530416427066,0.418488254816304,1,0.921856396238973,0.921856396238973,0.921856396238973,0.921856396238973,1,0.782333991116921,0.921856396238973,0.907898446255325,0.921856396238973,0.714527005731058,0.907898446255325,0.862530416427066,0.921856396238973,0.862530416427066
"WS2",0.907898446255325,0.754607271783464,0.921856396238973,0.418488254816304,0.782333991116921,0.921856396238973,0.862530416427066,0.907898446255325,0.921856396238973,0.907898446255325,0.907898446255325,0.907898446255325,0.921856396238973,0.862530416427066,0.921856396238973,0.907898446255325,0.862530416427066,1,0.862530416427066,1,0.921856396238973,0.907898446255325,0.907898446255325,0.782333991116921,0.921856396238973,0.754607271783464,0.921856396238973,0.907898446255325,0.921856396238973,0.921856396238973,0.418488254816304,0.921856396238973,0.862530416427066,0.921856396238973,0.714527005731058,0.921856396238973,0.921856396238973,0.714527005731058,0.921856396238973,0.782333991116921,0.907898446255325,0.782333991116921,0.862530416427066,0.862530416427066,0.714527005731058,0.714527005731058,1,0.782333991116921,1,0.921856396238973,0.418488254816304,0.907898446255325,0.907898446255325,4.11253253710544e-22,0.907898446255325,0.907898446255325,0.782333991116921,0.754607271783464,0.921856396238973,0.418488254816304,0.921856396238973,0.907898446255325,0.754607271783464,0.418488254816304,0.714527005731058,0.907898446255325,0.862530416427066,0.921856396238973,0.921856396238973,0.921856396238973,0.782333991116921,0.907898446255325,0.714527005731058,0.907898446255325,0.921856396238973,0.754607271783464,0.921856396238973,0.907898446255325,0.921856396238973,0.782333991116921,0.907898446255325,0.862530416427066,0.921856396238973,0.921856396238973,0.921856396238973,0.418488254816304,1,0.907898446255325,0.921856396238973,0.418488254816304,0.921856396238973,0.921856396238973,0.714527005731058,0.907898446255325,0.907898446255325,0.862530416427066,1,0.921856396238973,0.754607271783464,0.921856396238973,0.921856396238973,1,0.907898446255325,0.907898446255325,0.921856396238973,0.907898446255325,0.907898446255325,0.921856396238973,0.907898446255325,0.862530416427066,0.921856396238973,0.907898446255325,0.921856396238973,0.907898446255325,0.907898446255325,1,0.862530416427066,0.907898446255325,0.862530416427066,0.921856396238973,0.907898446255325,0.907898446255325,0.907898446255325,0.921856396238973,0.782333991116921,0.782333991116921,1,0.921856396238973,0.418488254816304,0.921856396238973,1,1,0.714527005731058,0.907898446255325,0.418488254816304,0.862530416427066,0.782333991116921,0.907898446255325,0.907898446255325,0.782333991116921,0.907898446255325,0.921856396238973
"unclassified_Bacteria",0.782333991116921,0.907898446255325,0.921856396238973,0.907898446255325,0.754607271783464,0.921856396238973,0.862530416427066,0.921856396238973,0.921856396238973,0.782333991116921,0.907898446255325,0.907898446255325,0.921856396238973,6.56865802128019e-22,0.921856396238973,0.782333991116921,0.862530416427066,0.862530416427066,0.862530416427066,1,0.782333991116921,0.782333991116921,0.921856396238973,0.921856396238973,0.921856396238973,0.921856396238973,0.921856396238973,0.782333991116921,0.921856396238973,0.921856396238973,0.907898446255325,0.907898446255325,0.862530416427066,0.714527005731058,0.782333991116921,0.782333991116921,0.754607271783464,0.921856396238973,0.921856396238973,0.907898446255325,0.782333991116921,0.921856396238973,0.862530416427066,0.862530416427066,0.921856396238973,0.782333991116921,0.862530416427066,0.754607271783464,0.862530416427066,0.754607271783464,0.907898446255325,0.782333991116921,0.782333991116921,0.862530416427066,0.907898446255325,0.921856396238973,0.921856396238973,0.921856396238973,0.907898446255325,0.907898446255325,0.921856396238973,0.921856396238973,0.907898446255325,0.907898446255325,0.921856396238973,0.782333991116921,0.862530416427066,0.907898446255325,0.921856396238973,0.714527005731058,0.907898446255325,0.907898446255325,0.921856396238973,0.921856396238973,0.782333991116921,0.907898446255325,0.754607271783464,0.921856396238973,0.907898446255325,0.907898446255325,0.714527005731058,1,0.921856396238973,0.782333991116921,0.754607271783464,0.907898446255325,1,0.921856396238973,0.921856396238973,0.907898446255325,0.921856396238973,0.921856396238973,0.921856396238973,0.921856396238973,0.907898446255325,1,0.862530416427066,0.921856396238973,0.907898446255325,0.907898446255325,0.418488254816304,0.862530416427066,0.782333991116921,0.907898446255325,0.782333991116921,0.907898446255325,0.921856396238973,0.921856396238973,0.907898446255325,0.862530416427066,0.907898446255325,0.921856396238973,0.754607271783464,0.907898446255325,0.782333991116921,0.862530416427066,0.862530416427066,0.782333991116921,0.862530416427066,0.921856396238973,0.921856396238973,0.782333991116921,0.921856396238973,0.921856396238973,0.921856396238973,0.921856396238973,0.862530416427066,0.921856396238973,0.907898446255325,0.754607271783464,0.862530416427066,0.862530416427066,0.921856396238973,0.907898446255325,0.907898446255325,0.862530416427066,0.754607271783464,0.782333991116921,0.907898446255325,0.921856396238973,0.782333991116921,0.907898446255325
