"","Coumarins.and.derivatives","Naphthofurans","Isoquinolines.and.derivatives","Azepines","Furopyrans","Benzofurans","Sulfoxides","Anthracenes","Pyrimidine.nucleosides","Benzodioxoles","Diazanaphthalenes","Phenanthrenes.and.derivatives","Oxocins","Organonitrogen.compounds","Oxepanes","Naphthopyrans","Bi..and.oligothiophenes","Organochlorides","Azaphilones","Tetrahydroisoquinolines","Purine.nucleosides","Dioxanes","Isoflavonoids","Benzoxazines","X2.arylbenzofuran.flavonoids","Flavonoids","Macrolides.and.analogues","Vinylogous.acids","Piperidines","Stilbenes","Linear.1.3.diarylpropanoids","Amaryllidaceae.alkaloids","Benzodiazepines","Steroids.and.steroid.derivatives","Diarylheptanoids","Tetralins"
"Abditibacteriota",0.7,0.5,0.5,-0.3,0.6,0,-0.7,0.1,0.1,0.4,-0.9,-0.3,-0.3,-0.7,0.3,0.6,0,0.1,-0.6,-0.8,0,0.1,0.7,-0.3,0.5,0.9,-0.4,0.3,-0.5,0,0.1,-0.7,0.8,0.2,-0.3,-0.7
"Acidobacteriota",-0.6,-0.7,-0.8,0.6,-0.5,0.1,0.6,0.2,0,-0.3,0.7,0.4,0.4,0.4,-0.6,-0.7,0.2,-0.3,0.2,0.5,-0.1,-0.5,-0.9,0.6,-0.8,-0.8,0.3,-0.4,0.7,-0.2,-0.3,0.9,-0.6,0,0.6,0.5
"Actinobacteriota",0.6,0.7,0.8,-0.6,0.5,-0.1,-0.6,-0.2,0,0.3,-0.7,-0.4,-0.4,-0.4,0.6,0.7,-0.2,0.3,-0.2,-0.5,0.1,0.5,0.9,-0.6,0.8,0.8,-0.3,0.4,-0.7,0.2,0.3,-0.9,0.6,0,-0.6,-0.5
"Armatimonadota",0,-0.1,0.6,-0.2,0.6,-0.7,-0.8,-0.1,0.6,0.9,-0.1,-1,-0.2,0.3,-0.2,0.1,0.1,-0.6,0.1,-0.3,0.7,0.1,0.7,0.2,0.6,0.1,0.6,-0.5,0.1,-0.1,0.9,-0.7,0.3,-0.3,-0.2,0.3
"Bacteroidota",0.9,0.3,0.7,-0.1,-0.2,-0.4,-0.1,0.3,0.3,0,-0.7,-0.1,-0.9,-0.5,0.5,1,-0.8,0.3,-0.2,-0.4,0.4,0.3,0.5,-0.5,0.7,0.3,0,0.1,-0.3,0.8,0.3,-0.5,0,0.6,-0.1,-0.1
"Bdellovibrionota",0.3,0.6,0.9,-0.7,0.6,-0.3,-0.7,-0.4,0.1,0.5,-0.4,-0.7,-0.3,0,0.5,0.5,-0.1,0.1,0.1,-0.3,0.3,0.6,1,-0.5,0.9,0.6,0,0.2,-0.6,0.1,0.6,-1,0.5,-0.3,-0.7,-0.2
"Campylobacterota",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Chloroflexi",-0.9,-0.2,-0.3,-0.1,-0.3,0.1,0.5,-0.5,-0.3,-0.3,1,0.1,0.5,0.9,-0.1,-0.7,0.2,0,0.8,0.9,-0.1,0.2,-0.4,0.1,-0.3,-0.7,0.3,-0.1,0.2,-0.2,0,0.4,-0.6,-0.6,-0.1,0.6
"Cyanobacteria",0,0.9,0.1,-0.7,0.1,0.8,0.2,-0.6,-0.9,-0.6,-0.1,0.5,0.3,-0.2,0.8,0.1,0.1,0.9,0.1,0.2,-0.8,0.6,0.2,-0.8,0.1,0.6,-0.9,1,-0.9,-0.1,-0.6,-0.2,0.3,-0.3,-0.7,-0.7
"Dadabacteria",-0.7,0.6,-0.1,-0.7,0.1,0.7,0.3,-0.9,-0.9,-0.5,0.6,0.3,0.7,0.5,0.5,-0.5,0.4,0.6,0.6,0.7,-0.7,0.6,0,-0.5,-0.1,0.1,-0.5,0.7,-0.6,-0.4,-0.4,0,0,-0.8,-0.7,-0.2
"Deferribacterota",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Deinococcota",0.2,0.4,0.1,-0.3,0.9,0.3,-0.8,-0.1,-0.1,0.5,-0.6,-0.3,0.3,-0.5,0,0,0.6,-0.1,-0.6,-0.7,-0.3,-0.1,0.5,0,0.1,0.9,-0.5,0.3,-0.4,-0.6,-0.1,-0.5,1,-0.2,-0.3,-0.8
"Dependentiae",-0.1,-1,-0.5,0.9,-0.3,-0.5,0.1,0.7,0.7,0.3,0.2,-0.1,-0.1,0.1,-0.9,-0.3,0,-0.8,-0.2,-0.1,0.5,-0.8,-0.6,0.9,-0.5,-0.7,0.7,-0.9,1,0,0.2,0.6,-0.4,0.4,0.9,0.6
"Desulfobacterota",-0.3,-0.9,-0.6,0.8,-0.6,-0.3,0.5,0.5,0.4,-0.1,0.5,0.2,0,0.3,-0.7,-0.4,-0.1,-0.5,0.1,0.3,0.3,-0.6,-0.8,0.7,-0.6,-0.9,0.6,-0.7,0.9,0.1,0,0.8,-0.7,0.3,0.8,0.7
"Elusimicrobiota",-0.3,-0.9,-0.6,0.8,-0.6,-0.3,0.5,0.5,0.4,-0.1,0.5,0.2,0,0.3,-0.7,-0.4,-0.1,-0.5,0.1,0.3,0.3,-0.6,-0.8,0.7,-0.6,-0.9,0.6,-0.7,0.9,0.1,0,0.8,-0.7,0.3,0.8,0.7
"Entotheonellaeota",-0.9,-0.2,-0.3,-0.1,-0.3,0.1,0.5,-0.5,-0.3,-0.3,1,0.1,0.5,0.9,-0.1,-0.7,0.2,0,0.8,0.9,-0.1,0.2,-0.4,0.1,-0.3,-0.7,0.3,-0.1,0.2,-0.2,0,0.4,-0.6,-0.6,-0.1,0.6
"FCPU426",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Fibrobacterota",-0.9,-0.3,-0.7,0.1,0.2,0.4,0.1,-0.3,-0.3,0,0.7,0.1,0.9,0.5,-0.5,-1,0.8,-0.3,0.2,0.4,-0.4,-0.3,-0.5,0.5,-0.7,-0.3,0,-0.1,0.3,-0.8,-0.3,0.5,0,-0.6,0.1,0.1
"Firmicutes",0.2,-0.9,-0.6,1,-0.4,-0.3,0.2,0.9,0.6,0.1,-0.1,0.2,-0.2,-0.3,-0.8,-0.1,-0.1,-0.6,-0.5,-0.3,0.3,-0.9,-0.7,0.8,-0.6,-0.5,0.4,-0.7,0.9,0.1,-0.1,0.7,-0.3,0.7,1,0.3
"Fusobacteriota",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GAL15",-0.3,-0.6,-0.9,0.7,-0.6,0.3,0.7,0.4,-0.1,-0.5,0.4,0.7,0.3,0,-0.5,-0.5,0.1,-0.1,-0.1,0.3,-0.3,-0.6,-1,0.5,-0.9,-0.6,0,-0.2,0.6,-0.1,-0.6,1,-0.5,0.3,0.7,0.2
"Gemmatimonadota",-0.4,0.7,-0.2,-0.6,0,0.9,0.4,-0.7,-1,-0.7,0.3,0.6,0.6,0.1,0.6,-0.3,0.3,0.8,0.3,0.5,-0.9,0.5,-0.1,-0.6,-0.2,0.3,-0.8,0.9,-0.7,-0.3,-0.7,0.1,0.1,-0.5,-0.6,-0.5
"Hydrogenedentes",0.872081599272381,0.102597835208515,0.66688592885535,0.0512989176042577,-0.307793505625546,-0.564288093646835,-0.0512989176042577,0.410391340834062,0.461690258438319,0.0512989176042577,-0.615587011251092,-0.153896752812773,-0.974679434480896,-0.410391340834062,0.359092423229804,0.974679434480896,-0.872081599272381,0.153896752812773,-0.153896752812773,-0.359092423229804,0.564288093646835,0.205195670417031,0.410391340834062,-0.359092423229804,0.66688592885535,0.102597835208515,0.205195670417031,-0.102597835208515,-0.102597835208515,0.872081599272381,0.410391340834062,-0.410391340834062,-0.153896752812773,0.66688592885535,0.0512989176042577,0.102597835208515
"Latescibacterota",-0.3,-0.9,-0.6,0.8,-0.6,-0.3,0.5,0.5,0.4,-0.1,0.5,0.2,0,0.3,-0.7,-0.4,-0.1,-0.5,0.1,0.3,0.3,-0.6,-0.8,0.7,-0.6,-0.9,0.6,-0.7,0.9,0.1,0,0.8,-0.7,0.3,0.8,0.7
"MBNT15",-0.3,-0.9,-0.6,0.8,-0.6,-0.3,0.5,0.5,0.4,-0.1,0.5,0.2,0,0.3,-0.7,-0.4,-0.1,-0.5,0.1,0.3,0.3,-0.6,-0.8,0.7,-0.6,-0.9,0.6,-0.7,0.9,0.1,0,0.8,-0.7,0.3,0.8,0.7
"Methylomirabilota",-0.6,-0.7,-0.8,0.6,-0.5,0.1,0.6,0.2,0,-0.3,0.7,0.4,0.4,0.4,-0.6,-0.7,0.2,-0.3,0.2,0.5,-0.1,-0.5,-0.9,0.6,-0.8,-0.8,0.3,-0.4,0.7,-0.2,-0.3,0.9,-0.6,0,0.6,0.5
"Myxococcota",-0.1,0.3,0.2,-0.4,1,0.1,-0.9,-0.3,0,0.7,-0.3,-0.6,0.4,-0.1,-0.1,-0.2,0.7,-0.3,-0.3,-0.5,-0.1,0,0.6,0.1,0.2,0.7,-0.2,0.1,-0.3,-0.7,0.2,-0.6,0.9,-0.5,-0.4,-0.5
"NB1.j",-0.6,-0.7,-0.8,0.6,-0.5,0.1,0.6,0.2,0,-0.3,0.7,0.4,0.4,0.4,-0.6,-0.7,0.2,-0.3,0.2,0.5,-0.1,-0.5,-0.9,0.6,-0.8,-0.8,0.3,-0.4,0.7,-0.2,-0.3,0.9,-0.6,0,0.6,0.5
"Nitrospirota",0.2,-0.5,-0.5,0.7,-0.9,0,0.8,0.6,0.1,-0.6,0.1,0.7,-0.3,-0.2,-0.2,0.1,-0.5,0.1,-0.1,0.2,0,-0.4,-0.8,0.2,-0.5,-0.6,0.1,-0.2,0.5,0.5,-0.4,0.8,-0.7,0.7,0.7,0.3
"Patescibacteria",-0.3,-0.6,-0.9,0.7,-0.6,0.3,0.7,0.4,-0.1,-0.5,0.4,0.7,0.3,0,-0.5,-0.5,0.1,-0.1,-0.1,0.3,-0.3,-0.6,-1,0.5,-0.9,-0.6,0,-0.2,0.6,-0.1,-0.6,1,-0.5,0.3,0.7,0.2
"Planctomycetota",-0.5,-0.7,-0.8,0.6,0.2,0.1,-0.1,0.3,0.2,0.3,0.3,0,0.6,0.1,-0.9,-0.8,0.7,-0.7,-0.3,-0.1,-0.1,-0.8,-0.6,0.9,-0.8,-0.3,0.2,-0.5,0.7,-0.7,-0.2,0.6,0.1,-0.1,0.6,0.1
"Proteobacteria",0.5,0.7,0.8,-0.6,-0.2,-0.1,0.1,-0.3,-0.2,-0.3,-0.3,0,-0.6,-0.1,0.9,0.8,-0.7,0.7,0.3,0.1,0.1,0.8,0.6,-0.9,0.8,0.3,-0.2,0.5,-0.7,0.7,0.2,-0.6,-0.1,0.1,-0.6,-0.1
"RCP2.54",-0.4,-0.7,-0.3,0.5,-0.7,-0.4,0.6,0.2,0.3,-0.2,0.7,0.1,-0.1,0.6,-0.4,-0.3,-0.3,-0.3,0.5,0.6,0.4,-0.2,-0.6,0.4,-0.3,-1,0.7,-0.6,0.7,0.3,0.2,0.6,-0.9,0.1,0.5,0.9
"SAR324_clade.Marine_group_B.",-1,-0.1,-0.4,-0.2,0.1,0.3,0.2,-0.6,-0.4,-0.1,0.9,0,0.8,0.8,-0.2,-0.9,0.6,-0.1,0.6,0.7,-0.3,0.1,-0.3,0.2,-0.4,-0.4,0.1,0,0.1,-0.6,-0.1,0.3,-0.2,-0.8,-0.2,0.3
"Spirochaetota",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Sumerlaeota",-0.6,0.3,0.2,-0.6,0.8,0.1,-0.6,-0.7,-0.2,0.5,0.3,-0.6,0.6,0.5,0,-0.5,0.7,-0.2,0.3,0.1,-0.1,0.3,0.5,0,0.2,0.3,0,0.1,-0.3,-0.7,0.3,-0.5,0.5,-0.9,-0.6,-0.1
"Synergistota",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Verrucomicrobiota",0.4,-0.7,0.2,0.6,0,-0.9,-0.4,0.7,1,0.7,-0.3,-0.6,-0.6,-0.1,-0.6,0.3,-0.3,-0.8,-0.3,-0.5,0.9,-0.5,0.1,0.6,0.2,-0.3,0.8,-0.9,0.7,0.3,0.7,-0.1,-0.1,0.5,0.6,0.5
"WOR.1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"WPS.2",0.6,0,0.5,0.1,-0.7,-0.5,0.4,0.3,0.3,-0.3,-0.2,0.1,-0.9,-0.1,0.4,0.8,-1,0.3,0.2,0.1,0.5,0.3,0.1,-0.4,0.5,-0.3,0.3,-0.1,0,1,0.3,-0.1,-0.6,0.6,0.1,0.4
"WS2",0.1,0.8,0.2,-0.6,-0.3,0.6,0.5,-0.5,-0.8,-0.8,0,0.6,0,-0.1,0.9,0.3,-0.3,1,0.3,0.4,-0.6,0.7,0.1,-0.9,0.2,0.3,-0.7,0.9,-0.8,0.3,-0.5,-0.1,-0.1,-0.1,-0.6,-0.4
"unclassified_Bacteria",-0.7,-0.1,0.1,-0.3,0.6,-0.2,-0.5,-0.5,0.1,0.6,0.5,-0.7,0.5,0.7,-0.3,-0.6,0.6,-0.5,0.4,0.2,0.2,0.1,0.3,0.3,0.1,-0.1,0.4,-0.3,0.1,-0.6,0.5,-0.3,0.2,-0.8,-0.3,0.3
